"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","558","Login successfully","firefox","Sat Sep 27 02:46:21 UTC 2025","passed","Sat Sep 27 02:46:22 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","153","Check product list page","chromium","Sat Sep 27 02:46:08 UTC 2025","passed","Sat Sep 27 02:46:09 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","824","(a) Add two products and verify cart","firefox","Sat Sep 27 02:46:25 UTC 2025","passed","Sat Sep 27 02:46:26 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
"","765","Login button is visible and enabled by default","webkit","Sat Sep 27 02:46:40 UTC 2025","passed","Sat Sep 27 02:46:41 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","603","Login successfully","webkit","Sat Sep 27 02:46:46 UTC 2025","passed","Sat Sep 27 02:46:47 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","569","Login with invalid password shows error","firefox","Sat Sep 27 02:46:19 UTC 2025","passed","Sat Sep 27 02:46:20 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","1605","User can log in to saucedemo.com - @Exe1","firefox","Sat Sep 27 02:46:15 UTC 2025","passed","Sat Sep 27 02:46:17 UTC 2025","","exercise1/exercise_1_4.spec.ts","",""
"","311","Login successfully","chromium","Sat Sep 27 02:46:08 UTC 2025","passed","Sat Sep 27 02:46:08 UTC 2025","S1 Exercise - @Exe3","exercise3/s1_exercise.spec.ts","",""
"","560","Login with empty password shows ""Password is required""","firefox","Sat Sep 27 02:46:20 UTC 2025","passed","Sat Sep 27 02:46:21 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","545","(c) Verify validation error for empty fields","chromium","Sat Sep 27 02:46:14 UTC 2025","passed","Sat Sep 27 02:46:14 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","850","(c) Verify validation error for empty fields","firefox","Sat Sep 27 02:46:30 UTC 2025","passed","Sat Sep 27 02:46:31 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","959","(a) Complete checkout with one product","firefox","Sat Sep 27 02:46:28 UTC 2025","passed","Sat Sep 27 02:46:29 UTC 2025","Exercise 3 - Checkout Flow Tests - @Exe4","exercise4/exercise3.spec.ts","",""
"","270","Logo image is visible on the login page","chromium","Sat Sep 27 02:46:06 UTC 2025","passed","Sat Sep 27 02:46:06 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","380","Locked-out user shows locked out error","chromium","Sat Sep 27 02:46:08 UTC 2025","passed","Sat Sep 27 02:46:08 UTC 2025","SauceDemo Login Page - @Exe2","exercise2/s1_exercises.spec.ts","",""
"","709","(b) Failed login with wrong password","firefox","Sat Sep 27 02:46:23 UTC 2025","passed","Sat Sep 27 02:46:24 UTC 2025","Exercise 1 - Login & Logout Tests - @Exe4","exercise4/exercise1.spec.ts","",""
"","635","(c) Remove all products and verify empty cart","chromium","Sat Sep 27 02:46:12 UTC 2025","passed","Sat Sep 27 02:46:13 UTC 2025","Exercise 2 - Shopping Cart Tests - @Exe4","exercise4/exercise2.spec.ts","",""
